id,created_at,supplier,ekspedisi,total_koli,total_ongkir
274,2026-07-17T19:44:25+00:00,(TA) JERC,BARAKA EXPRESS,1,73000
275,2026-07-17T21:03:33+00:00,(TA) EXC,BARAKA EXPRESS,1,162000
276,2026-07-17T21:04:35+00:00,(TA) EXCEED,BARAKA EXPRESS,1,63000
277,2026-07-04T13:38:00+00:00,EXCEED,BARAKA EXPRESS,1,63000
278,2026-07-04T13:38:00+00:00,LIZ SPORT,BARAKA EXPRESS,1,39000
279,2026-07-05T15:53:00+00:00,KNR,BARAKA EXPRESS,1,47000
280,2026-07-03T14:22:00+00:00,KINESIOJAKARTA,BARAKA EXPRESS,1,43000
281,2026-07-01T12:47:00+00:00,SAVIOR,BARAKA EXPRESS,1,27000
282,2026-07-02T12:00:00+00:00,KNR,BARAKA EXPRESS,1,18000
283,2026-07-17T14:08:39+00:00,EXCEED,BARAKA EXPRESS,1,162000
284,2026-07-19T15:14:00+00:00,(TA) EXCEED,BARAKA EXPRESS,1,36000
285,2026-07-20T15:14:00+00:00,(TA) EXC,BARAKA EXPRESS,1,89000
286,2026-07-20T15:14:00+00:00,(TA) YOGA SPORT,BARAKA EXPRESS,1,68000
287,2026-07-22T15:14:00+00:00,(TA) WEMBLEY,BARAKA EXPRESS,1,245000
288,2026-07-22T15:14:00+00:00,(TA) EXCEED,BARAKA EXPRESS,1,84000
289,2026-07-22T15:14:00+00:00,(TA) EXC,BARAKA EXPRESS,1,219000
290,2026-07-23T15:14:00+00:00,(TA) NERO,BARAKA EXPRESS,1,245000
291,2026-07-23T15:14:00+00:00,(TA) KICKNRUSH,BARAKA EXPRESS,1,110000
292,2026-07-23T15:14:00+00:00,(TA) SM SPORT,BARAKA EXPRESS,1,36000
293,2026-07-23T15:14:00+00:00,(TA) UNO,BARAKA EXPRESS,1,33000
294,2026-07-24T07:41:09+00:00,JERC,BARAKA EXPRESS,1,30000
295,2026-07-27T19:41:56+00:00,(TA) KICKNRUSH,BARAKA EXPRESS,1,110000
296,2026-07-28T11:53:31+00:00,PT.HIQUA WIJAYA SPORTINDO,JNT CARGO,1,37000
297,2026-07-29T10:54:34+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,2,73000
298,2026-07-29T03:36:15+00:00,JERC,BARAKA EXPRESS,1,63000
299,2026-07-29T03:36:54+00:00,DENS SPORT,BARAKA EXPRESS,1,120000
300,2026-07-29T03:37:22+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
301,2026-07-29T03:37:49+00:00,YOGA SPORT,BARAKA EXPRESS,1,76000
302,2026-07-31T10:04:19+00:00,FULLMAN,BARAKA EXPRESS,1,136000
303,2026-07-31T10:04:51+00:00,NERO,BARAKA EXPRESS,1,63000
304,2026-07-31T10:05:34+00:00,910,KAI LOG,1,150000
341,2026-01-08T17:53:00+00:00,EXCEED,BARAKA EXPRESS,1,110000
342,2026-02-08T21:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
343,2026-02-08T21:23:00+00:00,WEMBLEY,BARAKA EXPRESS,1,136000
344,2026-05-08T18:14:00+00:00,SM SPORT,BARAKA EXPRESS,1,30000
345,2026-07-08T11:26:00+00:00,SM SPORT,BARAKA EXPRESS,1,58000
310,2026-07-27T06:54:46+00:00,KNR,BARAKA EXPRESS,1,110000
346,2026-07-08T11:27:00+00:00,FULLMAN,BARAKA EXPRESS,1,110000
347,2026-07-08T19:38:00+00:00,JERC,BARAKA EXPRESS,1,33000
348,2026-09-08T17:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,42000
349,2026-10-08T20:20:00+00:00,FULLMAN,JNE,1,99000
315,2026-07-06T03:04:01+00:00,RTO SEMARANG,ADILA EXPRESS,7,236000
316,2026-07-13T03:04:43+00:00,RTO SEMARANG,ADILA EXPRESS,52,1592000
317,2026-07-27T03:05:31+00:00,RTO SEMARANG,ADILA EXPRESS,22,706000
318,2026-07-08T03:06:23+00:00,RTO MALANG,ADILA EXPRESS,8,265000
319,2026-07-08T03:07:08+00:00,RTO HUB JAKARTA,AD,10,616000
320,2026-07-29T03:07:47+00:00,RTO HUB JAKARTA,ADILA EXPRESS,14,758000
321,2026-01-08T12:49:00+00:00,KNR,BARAKA EXPRESS,1,175000
322,2026-01-08T17:53:00+00:00,ODYSEY,BARAKA EXPRESS,1,36000
323,2026-01-08T17:53:00+00:00,EXCEED,BARAKA EXPRESS,1,110000
324,2026-02-08T21:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
325,2026-02-08T21:23:00+00:00,WEMBLEY,BARAKA EXPRESS,1,136000
326,2026-05-08T18:14:00+00:00,SM SPORT,BARAKA EXPRESS,1,30000
327,2026-07-08T11:26:00+00:00,SM SPORT,BARAKA EXPRESS,1,58000
328,2026-07-08T11:27:00+00:00,FULLMAN,BARAKA EXPRESS,1,110000
329,2026-07-08T19:38:00+00:00,JERC,BARAKA EXPRESS,1,33000
330,2026-09-08T17:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,42000
331,2026-10-08T20:20:00+00:00,FULLMAN,JNE,1,99000
332,2026-12-08T12:50:00+00:00,PATROBAS,CV. BINTANG TIMUR,7,245000
333,2026-12-08T15:49:00+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,6,234800
350,2026-12-08T12:50:00+00:00,PATROBAS,CV. BINTANG TIMUR,7,245000
351,2026-12-08T15:49:00+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,6,234800
357,2026-01-08T12:49:00+00:00,KNR,BARAKA EXPRESS,1,175000
358,2026-01-08T17:53:00+00:00,ODYSEY,BARAKA EXPRESS,1,36000
359,2026-01-08T17:53:00+00:00,EXCEED,BARAKA EXPRESS,1,110000
360,2026-02-08T21:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
361,2026-02-08T21:23:00+00:00,WEMBLEY,BARAKA EXPRESS,1,136000
362,2026-05-08T18:14:00+00:00,SM SPORT,BARAKA EXPRESS,1,30000
363,2026-07-08T11:26:00+00:00,SM SPORT,BARAKA EXPRESS,1,58000
364,2026-07-08T11:27:00+00:00,FULLMAN,BARAKA EXPRESS,1,110000
365,2026-07-08T19:38:00+00:00,JERC,BARAKA EXPRESS,1,33000
366,2026-09-08T17:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,42000
367,2026-10-08T20:20:00+00:00,FULLMAN,JNE,1,99000
368,2026-12-08T12:50:00+00:00,PATROBAS,CV. BINTANG TIMUR,7,245000
369,2026-12-08T15:49:00+00:00,JAKARTA NOTEBOOK,SENTRAL CARGO,6,234800
375,2026-01-08T12:49:00+00:00,KNR,BARAKA EXPRESS,1,175000
376,2026-01-08T17:53:00+00:00,ODYSEY,BARAKA EXPRESS,1,36000
377,2026-01-08T17:53:00+00:00,EXCEED,BARAKA EXPRESS,1,110000
378,2026-02-08T21:21:00+00:00,UNO SPORT,BARAKA EXPRESS,1,39000
379,2026-02-08T21:23:00+00:00,WEMBLEY,BARAKA EXPRESS,1,136000
